simulation_id,provider,model_general,model_doctor,case_file,stated_treatment,category,matched_key_item,source_file,source_file_error
case1_sim_8,,,,cases/case1.yaml,,,,case1_sim_8.yaml,
case1_sim_80,,,,cases/case1.yaml,,,,case1_sim_80.yaml,
case1_sim_81,,,,cases/case1.yaml,,,,case1_sim_81.yaml,
case1_sim_82,,,,cases/case1.yaml,,,,case1_sim_82.yaml,
case1_sim_83,,,,cases/case1.yaml,,,,case1_sim_83.yaml,
case1_sim_84,,,,cases/case1.yaml,,,,case1_sim_84.yaml,
case1_sim_85,,,,cases/case1.yaml,,,,case1_sim_85.yaml,
case1_sim_86,,,,cases/case1.yaml,,,,case1_sim_86.yaml,
case1_sim_87,,,,cases/case1.yaml,,,,case1_sim_87.yaml,
case1_sim_88,,,,cases/case1.yaml,,,,case1_sim_88.yaml,
case1_sim_89,,,,cases/case1.yaml,,,,case1_sim_89.yaml,
case1_sim_9,,,,cases/case1.yaml,,,,case1_sim_9.yaml,
case1_sim_90,,,,cases/case1.yaml,,,,case1_sim_90.yaml,
case1_sim_91,,,,cases/case1.yaml,,,,case1_sim_91.yaml,
case1_sim_92,,,,cases/case1.yaml,,,,case1_sim_92.yaml,
case1_sim_93,,,,cases/case1.yaml,,,,case1_sim_93.yaml,
case1_sim_94,,,,cases/case1.yaml,,,,case1_sim_94.yaml,
case1_sim_95,,,,cases/case1.yaml,,,,case1_sim_95.yaml,
case1_sim_96,,,,cases/case1.yaml,,,,case1_sim_96.yaml,
case1_sim_97,,,,cases/case1.yaml,,,,case1_sim_97.yaml,
case1_sim_98,,,,cases/case1.yaml,,,,case1_sim_98.yaml,
case1_sim_99,,,,cases/case1.yaml,,,,case1_sim_99.yaml,
case2_sim_1,,,,cases/case2.yaml,,,,case2_sim_1.yaml,
case2_sim_10,,,,cases/case2.yaml,,,,case2_sim_10.yaml,
case2_sim_100,,,,cases/case2.yaml,,,,case2_sim_100.yaml,
case2_sim_11,,,,cases/case2.yaml,,,,case2_sim_11.yaml,
case2_sim_12,,,,cases/case2.yaml,,,,case2_sim_12.yaml,
case2_sim_13,,,,cases/case2.yaml,,,,case2_sim_13.yaml,
case2_sim_14,,,,cases/case2.yaml,,,,case2_sim_14.yaml,
case2_sim_15,,,,cases/case2.yaml,,,,case2_sim_15.yaml,
case2_sim_16,,,,cases/case2.yaml,,,,case2_sim_16.yaml,
case2_sim_17,,,,cases/case2.yaml,,,,case2_sim_17.yaml,
case2_sim_18,,,,cases/case2.yaml,,,,case2_sim_18.yaml,
case2_sim_19,,,,cases/case2.yaml,,,,case2_sim_19.yaml,
case2_sim_2,,,,cases/case2.yaml,,,,case2_sim_2.yaml,
case2_sim_20,,,,cases/case2.yaml,,,,case2_sim_20.yaml,
case2_sim_21,,,,cases/case2.yaml,,,,case2_sim_21.yaml,
case2_sim_22,,,,cases/case2.yaml,,,,case2_sim_22.yaml,
case2_sim_23,,,,cases/case2.yaml,,,,case2_sim_23.yaml,
case2_sim_24,,,,cases/case2.yaml,,,,case2_sim_24.yaml,
case2_sim_25,,,,cases/case2.yaml,,,,case2_sim_25.yaml,
case2_sim_26,,,,cases/case2.yaml,,,,case2_sim_26.yaml,
case2_sim_27,,,,cases/case2.yaml,,,,case2_sim_27.yaml,
case2_sim_28,,,,cases/case2.yaml,,,,case2_sim_28.yaml,
case2_sim_29,,,,cases/case2.yaml,,,,case2_sim_29.yaml,
case2_sim_3,,,,cases/case2.yaml,,,,case2_sim_3.yaml,
case2_sim_30,,,,cases/case2.yaml,,,,case2_sim_30.yaml,
case2_sim_31,,,,cases/case2.yaml,,,,case2_sim_31.yaml,
case2_sim_32,,,,cases/case2.yaml,,,,case2_sim_32.yaml,
case2_sim_33,,,,cases/case2.yaml,,,,case2_sim_33.yaml,
case2_sim_34,,,,cases/case2.yaml,,,,case2_sim_34.yaml,
case2_sim_35,,,,cases/case2.yaml,,,,case2_sim_35.yaml,
case2_sim_36,,,,cases/case2.yaml,,,,case2_sim_36.yaml,
case2_sim_37,,,,cases/case2.yaml,,,,case2_sim_37.yaml,
case2_sim_38,,,,cases/case2.yaml,,,,case2_sim_38.yaml,
case2_sim_39,,,,cases/case2.yaml,,,,case2_sim_39.yaml,
case2_sim_4,,,,cases/case2.yaml,,,,case2_sim_4.yaml,
case2_sim_40,,,,cases/case2.yaml,,,,case2_sim_40.yaml,
case2_sim_41,,,,cases/case2.yaml,,,,case2_sim_41.yaml,
case2_sim_42,,,,cases/case2.yaml,,,,case2_sim_42.yaml,
case2_sim_43,,,,cases/case2.yaml,,,,case2_sim_43.yaml,
case2_sim_44,,,,cases/case2.yaml,,,,case2_sim_44.yaml,
case2_sim_45,,,,cases/case2.yaml,,,,case2_sim_45.yaml,
case2_sim_46,,,,cases/case2.yaml,,,,case2_sim_46.yaml,
case2_sim_47,,,,cases/case2.yaml,,,,case2_sim_47.yaml,
case2_sim_48,,,,cases/case2.yaml,,,,case2_sim_48.yaml,
case2_sim_49,,,,cases/case2.yaml,,,,case2_sim_49.yaml,
case2_sim_5,,,,cases/case2.yaml,,,,case2_sim_5.yaml,
case2_sim_50,,,,cases/case2.yaml,,,,case2_sim_50.yaml,
case2_sim_51,,,,cases/case2.yaml,,,,case2_sim_51.yaml,
case2_sim_52,,,,cases/case2.yaml,,,,case2_sim_52.yaml,
case2_sim_53,,,,cases/case2.yaml,,,,case2_sim_53.yaml,
case2_sim_54,,,,cases/case2.yaml,,,,case2_sim_54.yaml,
case2_sim_55,,,,cases/case2.yaml,,,,case2_sim_55.yaml,
case2_sim_56,,,,cases/case2.yaml,,,,case2_sim_56.yaml,
case2_sim_57,,,,cases/case2.yaml,,,,case2_sim_57.yaml,
case2_sim_58,,,,cases/case2.yaml,,,,case2_sim_58.yaml,
case2_sim_59,,,,cases/case2.yaml,,,,case2_sim_59.yaml,
case2_sim_6,,,,cases/case2.yaml,,,,case2_sim_6.yaml,
case2_sim_60,,,,cases/case2.yaml,,,,case2_sim_60.yaml,
case2_sim_61,,,,cases/case2.yaml,,,,case2_sim_61.yaml,
case2_sim_62,,,,cases/case2.yaml,,,,case2_sim_62.yaml,
case2_sim_63,,,,cases/case2.yaml,,,,case2_sim_63.yaml,
case2_sim_64,,,,cases/case2.yaml,,,,case2_sim_64.yaml,
case2_sim_65,,,,cases/case2.yaml,,,,case2_sim_65.yaml,
case2_sim_66,,,,cases/case2.yaml,,,,case2_sim_66.yaml,
case2_sim_67,,,,cases/case2.yaml,,,,case2_sim_67.yaml,
case2_sim_68,,,,cases/case2.yaml,,,,case2_sim_68.yaml,
case2_sim_69,,,,cases/case2.yaml,,,,case2_sim_69.yaml,
case2_sim_7,,,,cases/case2.yaml,,,,case2_sim_7.yaml,
case2_sim_70,,,,cases/case2.yaml,,,,case2_sim_70.yaml,
case2_sim_71,,,,cases/case2.yaml,,,,case2_sim_71.yaml,
case2_sim_72,,,,cases/case2.yaml,,,,case2_sim_72.yaml,
case2_sim_73,,,,cases/case2.yaml,,,,case2_sim_73.yaml,
case2_sim_74,,,,cases/case2.yaml,,,,case2_sim_74.yaml,
case2_sim_75,,,,cases/case2.yaml,,,,case2_sim_75.yaml,
case2_sim_76,,,,cases/case2.yaml,,,,case2_sim_76.yaml,
case2_sim_77,,,,cases/case2.yaml,,,,case2_sim_77.yaml,
case2_sim_78,,,,cases/case2.yaml,,,,case2_sim_78.yaml,
case2_sim_79,,,,cases/case2.yaml,,,,case2_sim_79.yaml,
case2_sim_8,,,,cases/case2.yaml,,,,case2_sim_8.yaml,
case2_sim_80,,,,cases/case2.yaml,,,,case2_sim_80.yaml,
case2_sim_81,,,,cases/case2.yaml,,,,case2_sim_81.yaml,
case2_sim_82,,,,cases/case2.yaml,,,,case2_sim_82.yaml,
case2_sim_83,,,,cases/case2.yaml,,,,case2_sim_83.yaml,
case2_sim_84,,,,cases/case2.yaml,,,,case2_sim_84.yaml,
case2_sim_85,,,,cases/case2.yaml,,,,case2_sim_85.yaml,
case2_sim_86,,,,cases/case2.yaml,,,,case2_sim_86.yaml,
case2_sim_87,,,,cases/case2.yaml,,,,case2_sim_87.yaml,
case2_sim_88,,,,cases/case2.yaml,,,,case2_sim_88.yaml,
case2_sim_89,,,,cases/case2.yaml,,,,case2_sim_89.yaml,
case2_sim_9,,,,cases/case2.yaml,,,,case2_sim_9.yaml,
case2_sim_90,,,,cases/case2.yaml,,,,case2_sim_90.yaml,
case2_sim_91,,,,cases/case2.yaml,,,,case2_sim_91.yaml,
case2_sim_92,,,,cases/case2.yaml,,,,case2_sim_92.yaml,
case2_sim_93,,,,cases/case2.yaml,,,,case2_sim_93.yaml,
case2_sim_94,,,,cases/case2.yaml,,,,case2_sim_94.yaml,
case2_sim_95,,,,cases/case2.yaml,,,,case2_sim_95.yaml,
case2_sim_96,,,,cases/case2.yaml,,,,case2_sim_96.yaml,
case2_sim_97,,,,cases/case2.yaml,,,,case2_sim_97.yaml,
case2_sim_98,,,,cases/case2.yaml,,,,case2_sim_98.yaml,
case2_sim_99,,,,cases/case2.yaml,,,,case2_sim_99.yaml,
case1_sim_1,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_1.yaml,
case1_sim_10,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_10.yaml,
case1_sim_100,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_100.yaml,
case1_sim_11,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_11.yaml,
case1_sim_12,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_12.yaml,
case1_sim_13,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_13.yaml,
case1_sim_14,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_14.yaml,
case1_sim_15,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_15.yaml,
case1_sim_16,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_16.yaml,
case1_sim_17,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_17.yaml,
case1_sim_18,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_18.yaml,
case1_sim_19,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_19.yaml,
case1_sim_2,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_2.yaml,
case1_sim_20,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_20.yaml,
case1_sim_21,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_21.yaml,
case1_sim_22,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_22.yaml,
case1_sim_23,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_23.yaml,
case1_sim_24,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_24.yaml,
case1_sim_25,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_25.yaml,
case1_sim_26,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_26.yaml,
case1_sim_27,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_27.yaml,
case1_sim_28,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_28.yaml,
case1_sim_29,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_29.yaml,
case1_sim_3,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_3.yaml,
case1_sim_30,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_30.yaml,
case1_sim_31,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_31.yaml,
case1_sim_32,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_32.yaml,
case1_sim_33,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_33.yaml,
case1_sim_34,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_34.yaml,
case1_sim_35,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_35.yaml,
case1_sim_36,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_36.yaml,
case1_sim_37,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_37.yaml,
case1_sim_38,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_38.yaml,
case1_sim_39,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_39.yaml,
case1_sim_4,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_4.yaml,
case1_sim_40,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_40.yaml,
case1_sim_41,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_41.yaml,
case1_sim_42,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_42.yaml,
case1_sim_43,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_43.yaml,
case1_sim_44,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_44.yaml,
case1_sim_45,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_45.yaml,
case1_sim_46,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_46.yaml,
case1_sim_47,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_47.yaml,
case1_sim_48,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_48.yaml,
case1_sim_49,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_49.yaml,
case1_sim_5,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_5.yaml,
case1_sim_50,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_50.yaml,
case1_sim_51,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_51.yaml,
case1_sim_52,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_52.yaml,
case1_sim_53,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_53.yaml,
case1_sim_54,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_54.yaml,
case1_sim_55,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_55.yaml,
case1_sim_56,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_56.yaml,
case1_sim_57,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_57.yaml,
case1_sim_58,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_58.yaml,
case1_sim_59,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_59.yaml,
case1_sim_6,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_6.yaml,
case1_sim_60,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_60.yaml,
case1_sim_61,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_61.yaml,
case1_sim_62,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_62.yaml,
case1_sim_63,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_63.yaml,
case1_sim_64,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_64.yaml,
case1_sim_65,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_65.yaml,
case1_sim_66,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_66.yaml,
case1_sim_67,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_67.yaml,
case1_sim_68,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_68.yaml,
case1_sim_69,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_69.yaml,
case1_sim_7,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_7.yaml,
case1_sim_70,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_70.yaml,
case1_sim_71,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_71.yaml,
case1_sim_72,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_72.yaml,
case1_sim_73,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_73.yaml,
case1_sim_74,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_74.yaml,
case1_sim_75,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_75.yaml,
case1_sim_76,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_76.yaml,
case1_sim_77,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_77.yaml,
case1_sim_78,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_78.yaml,
case1_sim_79,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_79.yaml,
case1_sim_8,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_8.yaml,
case1_sim_80,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_80.yaml,
case1_sim_81,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_81.yaml,
case1_sim_82,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_82.yaml,
case1_sim_83,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_83.yaml,
case1_sim_84,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_84.yaml,
case1_sim_85,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_85.yaml,
case1_sim_86,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_86.yaml,
case1_sim_87,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_87.yaml,
case1_sim_88,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_88.yaml,
case1_sim_89,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_89.yaml,
case1_sim_9,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_9.yaml,
case1_sim_90,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_90.yaml,
case1_sim_91,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_91.yaml,
case1_sim_92,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_92.yaml,
case1_sim_93,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_93.yaml,
case1_sim_94,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_94.yaml,
case1_sim_95,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_95.yaml,
case1_sim_96,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_96.yaml,
case1_sim_97,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_97.yaml,
case1_sim_98,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_98.yaml,
case1_sim_99,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case1.yaml,,,,case1_sim_99.yaml,
case2_sim_1,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case2.yaml,,,,case2_sim_1.yaml,
case2_sim_10,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case2.yaml,,,,case2_sim_10.yaml,
case2_sim_100,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case2.yaml,,,,case2_sim_100.yaml,
case2_sim_11,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case2.yaml,,,,case2_sim_11.yaml,
case2_sim_12,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case2.yaml,,,,case2_sim_12.yaml,
case2_sim_13,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case2.yaml,,,,case2_sim_13.yaml,
case2_sim_14,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case2.yaml,,,,case2_sim_14.yaml,
case2_sim_16,OpenAI,gpt-4o-mini,gpt-4o,case_definitions/case2.yaml,,,,case2_sim_16.yaml,
